date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:43:04	18598/18598	---M--	200	added ('OK')	application/javascript	etag:%221d4187e-48a6-5e51b7e190580%22	https://abdocenter.com/js/panel/cerulean/main.js	D:/1-%20Mo%20Salem/portfolio%20graphic/abdocenter/abdocenter.com/js/panel/cerulean/main.js	(from https://abdocenter.com/)
07:43:04	34180/34180	---M--	200	added ('OK')	application/javascript	etag:%221d418ba-8584-5e51b7e190580%22	https://abdocenter.com/js/datepicker/js/bootstrap-datepicker.min.js	D:/1-%20Mo%20Salem/portfolio%20graphic/abdocenter/abdocenter.com/js/datepicker/js/bootstrap-datepicker.min.js	(from https://abdocenter.com/)
07:43:04	495/495	---M--	200	added ('OK')	application/javascript	etag:%221d418c2-1ef-5e51b7e190580%22	https://abdocenter.com/js/datepicker/locales/bootstrap-datepicker.tr.min.js	D:/1-%20Mo%20Salem/portfolio%20graphic/abdocenter/abdocenter.com/js/datepicker/locales/bootstrap-datepicker.tr.min.js	(from https://abdocenter.com/)
07:43:05	218956/218956	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2023%20May%202022%2020:08:08%20GMT	https://cdn.pushalert.co/integrate_eda0a20844eebca311bcfe9e81831780.js	D:/1-%20Mo%20Salem/portfolio%20graphic/abdocenter/cdn.pushalert.co/integrate_eda0a20844eebca311bcfe9e81831780.js	(from https://abdocenter.com/)
07:43:06	231644/231644	---M--	200	added ('OK')	image/svg+xml	etag:%221d62e5c-388dc-5e51b7e190580%22	https://abdocenter.com/images/world.svg	D:/1-%20Mo%20Salem/portfolio%20graphic/abdocenter/abdocenter.com/images/world.svg	(from https://abdocenter.com/css/panel/cerulean/style.css)
07:43:06	7732/7732	---M--	200	added ('OK')	image/svg+xml	etag:%221d62e45-1e34-5e51b7e190580%22	https://abdocenter.com/images/pattern.svg	D:/1-%20Mo%20Salem/portfolio%20graphic/abdocenter/abdocenter.com/images/pattern.svg	(from https://abdocenter.com/css/panel/cerulean/style.css)
07:43:06	27613/27613	---M--	200	added ('OK')	image/png	etag:%221d62e5f-6bdd-5e51b7e190580%22	https://abdocenter.com/images/sidebar.png	D:/1-%20Mo%20Salem/portfolio%20graphic/abdocenter/abdocenter.com/images/sidebar.png	(from https://abdocenter.com/css/panel/cerulean/style.css)
07:43:07	1505/1505	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2010%20Sep%202022%2005:43:08%20GMT	https://abdocenter.com/images/main-dot.png	D:/1-%20Mo%20Salem/portfolio%20graphic/abdocenter/abdocenter.com/images/main-dot.png	(from https://abdocenter.com/css/panel/cerulean/style.css)
07:43:09	403228/403228	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226271c-POiqk/26zwHcfv1DP/14PLgVAIE%22	https://cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicon.eot?t=1590207869815	D:/1-%20Mo%20Salem/portfolio%20graphic/abdocenter/cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicondf6d.eot	(from https://cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicon.css)
07:43:09	125268/125268	---M--	200	added ('OK')	font/woff2	etag:W/%221e954-TTdav0PtGKpUJkwbWXFLClnFk6Q%22	https://cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicon.woff2?t=1590207869815	D:/1-%20Mo%20Salem/portfolio%20graphic/abdocenter/cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicondf6d.woff2	(from https://cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicon.css)
07:43:09	172876/172876	---M--	200	added ('OK')	font/woff	etag:W/%222a34c-nvsPvvw4gOfwtm5Y9S+FGQ/d0nk%22	https://cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicon.woff?t=1590207869815	D:/1-%20Mo%20Salem/portfolio%20graphic/abdocenter/cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicondf6d.woff	(from https://cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicon.css)
07:43:10	403056/403056	---M-Z	200	added ('OK')	font/ttf	etag:W/%2262670-hAqCFW89079bDo0oUuIyvRqS7t0%22	https://cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicon.ttf?t=1590207869815	D:/1-%20Mo%20Salem/portfolio%20graphic/abdocenter/cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicondf6d.ttf	(from https://cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicon.css)
07:43:10	0/-1	---M--	302	error ('')			https://unpkg.com/wavesurfer.js	D:/1-%20Mo%20Salem/portfolio%20graphic/abdocenter/unpkg.com/wavesurfer.27.delayed	(from https://abdocenter.com/services)
07:43:20	1195522/1195522	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22123e02-RFSTKqSIOQG9AFD0KBuq2CFvsSg%22	https://cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicon.svg?t=1590207869815	D:/1-%20Mo%20Salem/portfolio%20graphic/abdocenter/cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicondf6d.svg	(from https://cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicon.css)
07:43:34	0/-1	---M--	302	error ('')			https://unpkg.com/wavesurfer.js	D:/1-%20Mo%20Salem/portfolio%20graphic/abdocenter/unpkg.com/wavesurfer.28.delayed	(from https://abdocenter.com/faq)
07:43:34	0/-1	---M--	302	error ('')			https://unpkg.com/wavesurfer.js	D:/1-%20Mo%20Salem/portfolio%20graphic/abdocenter/unpkg.com/wavesurfer.29.delayed	(from https://abdocenter.com/terms)
07:43:34	0/-1	---M--	302	error ('')			https://unpkg.com/wavesurfer.js	D:/1-%20Mo%20Salem/portfolio%20graphic/abdocenter/unpkg.com/wavesurfer.2a.delayed	(from https://abdocenter.com/api)
07:43:35	1505/1505	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2010%20Sep%202022%2005:43:36%20GMT	https://abdocenter.com/example.txt	D:/1-%20Mo%20Salem/portfolio%20graphic/abdocenter/abdocenter.com/example.2b.delayed	(from https://abdocenter.com/api)
07:43:35	0/-1	---M--	302	error ('')			https://unpkg.com/wavesurfer.js	D:/1-%20Mo%20Salem/portfolio%20graphic/abdocenter/unpkg.com/wavesurfer.2c.delayed	(from https://abdocenter.com/signup)
07:43:35	0/-1	---M--	302	error ('')			https://unpkg.com/wavesurfer.js	D:/1-%20Mo%20Salem/portfolio%20graphic/abdocenter/unpkg.com/wavesurfer.2e.delayed	(from https://abdocenter.com/resetpassword)
07:43:37	416219/416219	---M--	200	added ('OK')	image/png	etag:%221d62e4c-659db-5e51b7e190580%22	https://abdocenter.com/images/register-circle.png	D:/1-%20Mo%20Salem/portfolio%20graphic/abdocenter/abdocenter.com/images/register-circle.png	(from https://abdocenter.com/signup)
07:43:38	58/58	---M--	400	error ('Bad%20Request')	text/plain	etag:W/%223a-taO9i3TG0dz45Oeau8VRWJD4Xi8%22	https://cdn.jsdelivr.net/robots.txt		(from https://cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicon.css)
